consensus_rank,gene,compartment,rule_rank,ml_rank,network_rank,borda_total,max_rank_diff,translational
1,SPP1,Macrophage,2,3,3,40,1,['Dx']
2,LGALS3,Macrophage,7,2,7,32,5,"['Dx', 'Tx']"
3,TREM2,Macrophage,1,5,11,31,10,"['Dx', 'Tx']"
4,PDGFRA,Mesenchymal,4,6,8,30,4,['Tx']
5,COL1A1,Mesenchymal,3,11,5,29,8,['Tx']
6,TIMP1,Mesenchymal,10,8,2,28,8,['Dx']
7,MMP2,Mesenchymal,14,1,6,27,13,['Dx']
8,ICAM1,Endothelial,8,4,9,27,5,"['Dx', 'Tx']"
9,CCL2,Endothelial,12,9,1,26,11,['Tx']
10,ACKR1,Endothelial,6,7,10,25,4,"['Dx', 'Tx']"
11,GPNMB,Macrophage,5,10,14,19,9,"['Dx', 'Tx']"
12,FN1,Mesenchymal,15,12,4,17,11,['Tx']
13,LOXL2,Mesenchymal,9,13,12,14,4,['Tx']
14,TNFSF12,Macrophage,11,14,13,10,3,['Tx']
15,PLVAP,Endothelial,13,15,15,5,2,['Dx']
