cell_type,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53
B_cells,0.72638917,1.9884295,-0.74539596,2.733999,4.6932807,-2.1343625,-2.029894,-2.404612,-0.049742788,3.6300855,-0.30528656,-0.4004517,1.3409224,-5.470715
CD4_T_cells,0.57309395,1.803515,-0.79056937,1.6146004,5.9033337,-2.3344903,-0.20617892,-2.7244315,0.113728985,1.9322318,-1.1009699,0.34993893,0.82200354,-5.502698
CD8_T_cells,0.33431217,1.2731398,-0.56276363,2.2166214,3.431448,-1.7838384,-0.7543932,-2.570689,-0.0131867975,2.5503075,-1.2637931,-0.16745314,0.8526669,-5.4469433
Cholangiocytes,2.1499717,1.6396273,-0.30191514,1.8696507,3.5893414,-2.5923002,-0.6041984,-2.1547668,0.4822708,2.203502,-1.2720248,-1.6278098,-0.19692294,-5.5658526
Kupffer_cells,0.4058733,1.3910092,-0.62108946,2.295338,4.199519,-1.9562559,-1.1582042,-2.7577183,-0.1979016,3.1240044,-1.4433429,-0.066768155,0.96500915,-5.3093104
LSEC,1.0599804,2.2815626,-0.7223952,2.4489334,6.8648686,-2.544501,0.1441836,-3.3991127,0.56189144,2.3130598,-0.969071,-0.38735396,0.8903041,-5.5824466
Large_vessel_EC,1.1938672,2.6200037,-0.6429814,2.9262252,4.841722,-2.099437,-1.0562092,-2.9823709,3.5639226,1.8487169,-1.9105937,0.018913206,0.09351231,-5.265999
NK_cells,1.4408083,1.9058981,-2.4167142,2.040123,2.4549332,-3.0163126,-1.3714379,-3.996878,1.2503605,3.1034026,-2.08814,-0.55199975,-0.54855514,-6.2349086
Plasma_cells,0.48930794,1.9699427,0.22841038,2.9538279,3.3387158,-2.6608129,-0.77477574,-3.0192192,6.3165245,1.624732,-1.0622317,-0.93053275,0.38817587,-5.563005
Quiescent_HSC,0.8978419,2.5780473,-0.16612326,2.9755437,8.815443,-2.049722,-2.4192588,-3.4911351,4.9689183,3.277931,-1.9270082,0.33682412,0.069663316,-5.2964587
SAEndo_ACKR1,0.8749081,2.0027342,-0.86185473,1.907849,5.544848,-1.6183567,1.5340502,-2.3439817,0.54696393,0.82312727,-1.4360127,0.18413985,0.12586676,-5.522461
SAMac_TREM2,0.53198266,1.9168507,-0.77271575,2.35836,5.4373846,-2.0900931,-0.7317049,-2.770691,0.08682167,2.6081643,-0.41023466,-0.51115614,1.1181496,-5.591134
SAMes_myofibroblast,0.6883399,2.3215625,0.21012992,3.0152376,6.416472,-1.7778145,-1.5771117,-3.654092,4.1717243,2.497685,-1.5347949,0.30700478,0.39522356,-5.882572
Tissue_monocytes,0.51418877,1.7176605,-0.80120367,2.250197,4.5449414,-1.8194898,0.8923195,-2.2172012,0.27439913,1.5377588,-1.3992133,-0.021154042,0.5631124,-5.387709
Unknown,1.8523713,1.9716567,-0.51768756,2.6052296,4.16922,-2.7705116,-0.85873914,-3.2623012,1.338021,2.558834,-1.4908904,-0.68203753,-0.18737099,-5.6715474
cDC1,0.9065219,2.6067553,-0.30150324,3.3700264,6.8315883,-1.7523814,-1.7595419,-3.4196062,4.8260593,2.5576518,-1.4378817,0.34108838,0.17668165,-5.5875444
cDC2,0.57664096,1.9817128,-0.7190505,2.4719007,4.721827,-1.8423092,-1.6164975,-2.5436513,-0.02406187,3.259756,-0.5179754,-0.37053737,1.3912649,-5.608625
pDC,0.89951557,1.811234,-1.2273495,1.447337,4.496635,-2.721484,-1.6802907,-2.9762642,-0.05373341,2.5374753,-0.690005,-0.11090698,0.88203895,-4.610282
