names,scores,logfoldchanges,pvals,pvals_adj,cell_type,method
RPS14,20.674356,0.4396475,5.894782882103815e-95,3.972376288592118e-91,SAMac_TREM2,wilcoxon
TPT1,19.296883,0.4885449,5.704971410892063e-83,3.2037217786432863e-79,SAMac_TREM2,wilcoxon
HLA-DQA2,17.470472,4.6637,2.404955007933885e-68,1.012906925466554e-64,SAMac_TREM2,wilcoxon
MT-CO3,17.358404,0.51430285,1.703961393349969e-67,6.379252798614873e-64,SAMac_TREM2,wilcoxon
RPS24,15.337392,0.37414932,4.301332598240935e-53,9.05806878532063e-50,SAMac_TREM2,wilcoxon
S100A9,14.724771,1.5155636,4.4698651511257155e-49,8.859272729531169e-46,SAMac_TREM2,wilcoxon
S100A8,13.856513,1.5742904,1.1618327653213564e-43,1.8641330092732276e-40,SAMac_TREM2,wilcoxon
RPLP1,13.831195,0.3144334,1.6525357370008047e-43,2.320022463437713e-40,SAMac_TREM2,wilcoxon
LYZ,13.459303,1.4148146,2.714643826364326e-41,3.658688363420784e-38,SAMac_TREM2,wilcoxon
RPS8,13.399006,0.40472928,6.127873879980219e-41,7.941253173540519e-38,SAMac_TREM2,wilcoxon
HLA-B,13.343308,0.2908835,1.2957852905391797e-40,1.5592924849795399e-37,SAMac_TREM2,wilcoxon
RP11-1143G9.4,13.003299,1.6218178,1.1717749889310183e-38,1.3160595492347242e-35,SAMac_TREM2,wilcoxon
RPL7,11.250053,0.30114236,2.314525375439677e-29,1.8136190232573132e-26,SAMac_TREM2,wilcoxon
RPS4Y1,10.269252,0.8557342,9.695408426576382e-25,5.73117704429938e-22,SAMac_TREM2,wilcoxon
MT-CO1,10.1587925,0.26020873,3.028026330270145e-24,1.6725626093790534e-21,SAMac_TREM2,wilcoxon
DUSP6,10.032094,1.4437838,1.101550751320188e-23,5.986395324997164e-21,SAMac_TREM2,wilcoxon
RPS9,9.917771,0.24283095,3.484504386930825e-23,1.834482668956988e-20,SAMac_TREM2,wilcoxon
S100A12,9.688696,1.9468378,3.368029208962124e-22,1.6688584730407326e-19,SAMac_TREM2,wilcoxon
OAZ1,9.329241,0.37917972,1.0663181246446974e-20,4.921715464627183e-18,SAMac_TREM2,wilcoxon
VCAN,9.293955,1.4849218,1.4865944451637103e-20,6.768826112884601e-18,SAMac_TREM2,wilcoxon
GAPDH,8.871595,0.48231554,7.21050822663507e-19,3.075327394787874e-16,SAMac_TREM2,wilcoxon
CD3D,8.687621,2.2905436,3.7010908922937315e-18,1.467112429705235e-15,SAMac_TREM2,wilcoxon
EEF1A1,8.594383,0.2006499,8.371312025539233e-18,3.2798021789362662e-15,SAMac_TREM2,wilcoxon
RPS11,8.449007,0.25662774,2.93791661749596e-17,1.0420017106306196e-14,SAMac_TREM2,wilcoxon
SLC25A6,8.379891,0.3102733,5.297655038379378e-17,1.8401978233314924e-14,SAMac_TREM2,wilcoxon
RPS3A,8.112202,0.2374645,4.971054434227086e-16,1.642104981439681e-13,SAMac_TREM2,wilcoxon
TRAC,7.9045343,1.6009313,2.6893721387991026e-15,8.713048542759324e-13,SAMac_TREM2,wilcoxon
TMSB4X,7.901728,0.24555875,2.750632885324314e-15,8.826649946487374e-13,SAMac_TREM2,wilcoxon
RPL13,7.8686194,0.22239989,3.585760220662775e-15,1.129145839953379e-12,SAMac_TREM2,wilcoxon
RPL23,7.8329196,0.21367338,4.7666998642114735e-15,1.4734787635297375e-12,SAMac_TREM2,wilcoxon
COTL1,7.545632,0.6080029,4.5010013345984567e-14,1.3073856807582792e-11,SAMac_TREM2,wilcoxon
IL32,7.5157895,1.0728815,5.65684284823105e-14,1.6290740421221965e-11,SAMac_TREM2,wilcoxon
RPL32,7.4373813,0.1964214,1.0270074353139451e-13,2.8363925020875464e-11,SAMac_TREM2,wilcoxon
RPL3,7.3129525,0.25496018,2.61335549681052e-13,6.77341539304105e-11,SAMac_TREM2,wilcoxon
MNDA,7.262868,0.6910135,3.7896765697366975e-13,9.747279567992998e-11,SAMac_TREM2,wilcoxon
ARPC1B,6.9026465,0.3948228,5.104245712926036e-12,1.2372838492901428e-09,SAMac_TREM2,wilcoxon
EIF1,6.752041,0.2043377,1.4577987501932324e-11,3.411046603403526e-09,SAMac_TREM2,wilcoxon
RPS27A,6.7506914,0.19318834,1.4714236857457413e-11,3.419182735690828e-09,SAMac_TREM2,wilcoxon
NEAT1,6.678785,0.5555586,2.4093121895637582e-11,5.522405776541583e-09,SAMac_TREM2,wilcoxon
RPS4X,6.6529145,0.21256113,2.8734463312284493e-11,6.454526712294091e-09,SAMac_TREM2,wilcoxon
CYBB,6.6400948,0.5871478,3.1348184481584287e-11,6.9950048206788145e-09,SAMac_TREM2,wilcoxon
EIF5A,6.616448,0.96066934,3.679324356930581e-11,8.102689861596013e-09,SAMac_TREM2,wilcoxon
RPL13A,6.5888753,0.20119986,4.431704503253502e-11,9.633667840814419e-09,SAMac_TREM2,wilcoxon
MTRNR2L8,6.5432076,0.6201545,6.021318640866971e-11,1.3005276300344342e-08,SAMac_TREM2,wilcoxon
CSTA,6.361027,0.5551107,2.0040969616566837e-10,4.194164163109335e-08,SAMac_TREM2,wilcoxon
IGLC7,6.358588,3.267322,2.0361626449334e-10,4.23496692335716e-08,SAMac_TREM2,wilcoxon
RBM3,6.3509054,0.48006415,2.1405122550678456e-10,4.3710557528639994e-08,SAMac_TREM2,wilcoxon
VMP1,6.340984,0.61348253,2.283027535586357e-10,4.633995770123296e-08,SAMac_TREM2,wilcoxon
UQCRB,6.2405386,0.25482717,4.3606617390967917e-10,8.34818958165496e-08,SAMac_TREM2,wilcoxon
C1orf56,6.149847,1.1505053,7.755768684305355e-10,1.4125560543188357e-07,SAMac_TREM2,wilcoxon
RPS16,6.062023,0.14992513,1.344199757946936e-09,2.358930554388753e-07,SAMac_TREM2,wilcoxon
CSF3R,6.0608115,1.0513368,1.3543644820888242e-09,2.364453723290199e-07,SAMac_TREM2,wilcoxon
RPL5,6.056579,0.16170512,1.390468210254506e-09,2.414970921459553e-07,SAMac_TREM2,wilcoxon
RPS12,6.041934,0.18787707,1.5227771938179405e-09,2.617778304515392e-07,SAMac_TREM2,wilcoxon
RPS3,6.0176587,0.2141058,1.7695791529048856e-09,2.9961909536671966e-07,SAMac_TREM2,wilcoxon
RPLP2,5.9796734,0.16963303,2.235852102590597e-09,3.67486832900915e-07,SAMac_TREM2,wilcoxon
RPL9,5.9740763,0.18405621,2.313975435143231e-09,3.766526005396909e-07,SAMac_TREM2,wilcoxon
RPS15,5.941796,0.13738157,2.8191630146692604e-09,4.5018425884486286e-07,SAMac_TREM2,wilcoxon
UBA52,5.9085956,0.15631576,3.4503693112325653e-09,5.407290398728839e-07,SAMac_TREM2,wilcoxon
TKT,5.8614707,0.52031934,4.587854775196176e-09,7.15662864793796e-07,SAMac_TREM2,wilcoxon
RPS20,5.8527756,0.16790114,4.834359502925219e-09,7.506401340624992e-07,SAMac_TREM2,wilcoxon
MT-ND5,5.8273807,0.27648383,5.6304045965761585e-09,8.662596003517675e-07,SAMac_TREM2,wilcoxon
PFDN5,5.824452,0.1723955,5.730038045898162e-09,8.775813723567849e-07,SAMac_TREM2,wilcoxon
TXNIP,5.798014,0.30378133,6.710482033717259e-09,1.0093883109110237e-06,SAMac_TREM2,wilcoxon
ACTG1,5.76558,0.23463136,8.137731546477368e-09,1.2186343410089265e-06,SAMac_TREM2,wilcoxon
RPL10,5.7620535,0.1681388,8.309675194519927e-09,1.23887697346971e-06,SAMac_TREM2,wilcoxon
IGHG3,5.699624,1.3092607,1.2007186920295111e-08,1.7142803224255233e-06,SAMac_TREM2,wilcoxon
TRBC1,5.6191916,2.0456398,1.918530326220195e-08,2.6711967277546797e-06,SAMac_TREM2,wilcoxon
RPS13,5.614836,0.16029957,1.9674829596455274e-08,2.709172566204911e-06,SAMac_TREM2,wilcoxon
HLA-DQB2,5.614668,2.916641,1.969403204687467e-08,2.709172566204911e-06,SAMac_TREM2,wilcoxon
RPL8,5.5990105,0.1589056,2.155786240242369e-08,2.9289137733357413e-06,SAMac_TREM2,wilcoxon
CDC42,5.537854,0.36522308,3.0619990952539e-08,4.077905040137744e-06,SAMac_TREM2,wilcoxon
RPS2,5.419958,0.15023515,5.961301675423475e-08,7.551131528260096e-06,SAMac_TREM2,wilcoxon
RPL30,5.3923087,0.174815,6.955805945458345e-08,8.745109161428115e-06,SAMac_TREM2,wilcoxon
HCST,5.2943482,0.37221986,1.1944157160902275e-07,1.452875203535889e-05,SAMac_TREM2,wilcoxon
PTP4A2,5.287248,0.45904934,1.241701203645492e-07,1.5049597250227054e-05,SAMac_TREM2,wilcoxon
RPL21,5.284181,0.14475672,1.2626824895898323e-07,1.5194579930085645e-05,SAMac_TREM2,wilcoxon
MT-ND1,5.282755,0.17914672,1.2725552259881812e-07,1.525888817951807e-05,SAMac_TREM2,wilcoxon
VIM,5.2742596,0.28562173,1.3329328889177517e-07,1.5814028436336173e-05,SAMac_TREM2,wilcoxon
BTF3,5.2265058,0.19482608,1.7274332181360283e-07,2.0001420911297367e-05,SAMac_TREM2,wilcoxon
RPL24,5.125601,0.12509021,2.9659014235806303e-07,3.276494510364779e-05,SAMac_TREM2,wilcoxon
CAST,5.1249723,0.5455519,2.9758157797179095e-07,3.276703819667165e-05,SAMac_TREM2,wilcoxon
ARPC4,5.0726643,0.4173765,3.922842855630059e-07,4.2364188197948466e-05,SAMac_TREM2,wilcoxon
LGALS1,5.0377154,0.46451768,4.711208147819095e-07,5.0234002320448284e-05,SAMac_TREM2,wilcoxon
RPL27A,5.0028744,0.1411243,5.648178737066941e-07,5.92865216095743e-05,SAMac_TREM2,wilcoxon
S100A6,4.923914,0.50730914,8.483018915330768e-07,8.717649851511007e-05,SAMac_TREM2,wilcoxon
CD27,4.9139614,1.8050126,8.925433561797218e-07,9.140837642285578e-05,SAMac_TREM2,wilcoxon
CD93,4.8429294,1.00165,1.2793885785456115e-06,0.00012791607942289564,SAMac_TREM2,wilcoxon
RPL27,4.82922,0.1413211,1.3706913101123042e-06,0.00013583550883212935,SAMac_TREM2,wilcoxon
EEF1B2,4.693366,0.15618333,2.687459235808924e-06,0.0002522318983045846,SAMac_TREM2,wilcoxon
RPS7,4.6760836,0.14762795,2.924056593666229e-06,0.00027367545240830534,SAMac_TREM2,wilcoxon
RPL10A,4.6465483,0.20503472,3.3753552187703937e-06,0.0003090467900577436,SAMac_TREM2,wilcoxon
RPL6,4.5717893,0.13154195,4.8357662180147295e-06,0.00042446862498813845,SAMac_TREM2,wilcoxon
CDC42EP3,4.5602574,1.0696833,5.109093172188549e-06,0.00044597353715989887,SAMac_TREM2,wilcoxon
NACA,4.4979815,0.10255001,6.86016022856976e-06,0.0005822452126145231,SAMac_TREM2,wilcoxon
AP1S2,4.497813,0.36178637,6.865603948800184e-06,0.0005822452126145231,SAMac_TREM2,wilcoxon
