consensus_rank,gene,cell_type,compartment,logFC,pval_adj,rule_score,rule_rank,ml_score,ml_rank,network_score,network_rank,borda_total,max_rank_diff,degree,betweenness,seed_proximity,specificity,fold_change,druggability,serum,clinical,translational,rationale
1,SPP1,SAMac_TREM2,Macrophage,5.1,1e-52,9.0,2,0.7362818048115867,3,0.8905399288787323,3,40,1,17,0.05238095238095239,0.9,2,2,1,2,2,['Dx'],Secreted phosphoprotein. Elevated serum levels in cirrhosis across multiple cohorts. Promotes HSC activation via CD44.
2,LGALS3,SAMac_TREM2,Macrophage,2.9,1e-28,8.0,7,0.8025131742293307,2,0.7434811169724709,7,32,5,15,0.014285714285714287,0.8857142857142857,1,1,2,2,2,"['Dx', 'Tx']",Galectin 3. FDA cleared serum biomarker for cardiac fibrosis. Inhibitor belapectin in Phase 2/3 for NASH cirrhosis.
3,TREM2,SAMac_TREM2,Macrophage,4.2,1e-45,10.0,1,0.6731579932770292,5,0.46321359289757313,11,31,10,7,0.014285714285714287,0.8428571428571429,2,2,2,2,2,"['Dx', 'Tx']",Defines the SAMac population. Serum TREM2 measurable by ELISA and correlates with fibrosis stage. Blocking strategies reduce fibrosis in preclinical models.
4,PDGFRA,SAMes_myofibroblast,Mesenchymal,3.7,1e-35,9.0,4,0.6062607050804298,6,0.7347416975362628,8,30,4,13,0.03333333333333334,0.9,2,2,2,1,2,['Tx'],PDGF receptor alpha on myofibroblasts. Imatinib class inhibitors available. PDGFRalpha cell frequency correlates with histological fibrosis stage.
5,COL1A1,SAMes_myofibroblast,Mesenchymal,6.2,1e-80,9.0,3,0.2882859245857424,11,0.7810317125794152,5,29,8,15,0.014285714285714287,0.9,2,2,2,1,2,['Tx'],Canonical fibrosis gene. ASO and small molecule strategies targeting collagen production in development. PINP propeptide measurable in serum.
6,TIMP1,SAMes_myofibroblast,Mesenchymal,3.5,1e-30,8.0,10,0.5425665998452162,8,0.909679252794728,2,28,8,16,0.05714285714285715,0.9,1,2,1,2,2,['Dx'],Inhibits MMP mediated ECM resolution. Serum TIMP1 is a component of the ELF score which is FDA cleared.
7,MMP2,SAMes_myofibroblast,Mesenchymal,2.8,1e-24,7.0,14,0.8127464918599367,1,0.7543904037762298,6,27,13,15,0.0,0.8857142857142857,1,1,1,2,2,['Dx'],Collagen IV remodeling enzyme. Serum MMP2 used in fibrosis indices.
8,ICAM1,SAEndo_ACKR1,Endothelial,2.6,1e-22,8.0,8,0.6821119561795589,4,0.6768729501433686,9,27,5,12,0.0,0.8714285714285714,1,1,2,2,2,"['Dx', 'Tx']",Soluble ICAM1 measurable in plasma. Correlates with inflammatory activity in cirrhosis.
9,CCL2,SAEndo_ACKR1,Endothelial,3.3,1e-28,8.0,12,0.48404209773740126,9,0.9217808352199951,1,26,11,17,0.08095238095238096,0.8857142857142857,1,2,2,2,1,['Tx'],Drives CCR2 positive monocyte recruitment feeding SAMac expansion. Cenicriviroc validated this axis in Phase 3.
10,ACKR1,SAEndo_ACKR1,Endothelial,4.6,1e-40,8.0,6,0.5980683701366096,7,0.49785615196772626,10,25,4,5,0.09523809523809525,0.8285714285714285,2,2,1,1,2,"['Dx', 'Tx']",Defines scar associated endothelium. IHC marker of fibrotic septa. Modulates leukocyte trafficking.
11,GPNMB,SAMac_TREM2,Macrophage,3.6,1e-32,9.0,5,0.3721997324894862,10,0.30418167146818614,14,19,9,4,0.004761904761904762,0.8,2,2,2,2,1,"['Dx', 'Tx']",Glycoprotein NMB. Serum and plasma detectable. Anti-GPNMB ADC in clinical trials for other indications making it a repurposing candidate.
12,FN1,SAMes_myofibroblast,Mesenchymal,4.1,1e-36,6.0,15,0.17794301118249742,12,0.81875,4,17,11,16,0.0,0.9,1,2,1,1,1,['Tx'],Fibronectin 1. Core ECM scaffold. EDA-FN isoform is fibrosis specific. Targeted drug conjugates in early development.
13,LOXL2,SAMes_myofibroblast,Mesenchymal,3.1,1e-26,8.0,9,0.16528044683357157,13,0.43652627817093725,12,14,4,7,0.004761904761904762,0.8428571428571429,2,2,2,1,1,['Tx'],Crosslinks collagen and promotes ECM stiffness. Simtuzumab failed Phase 3 but next generation small molecule inhibitors are in development.
14,TNFSF12,SAMac_TREM2,Macrophage,3.3,1e-29,8.0,11,0.13615456563472358,14,0.3396923672859211,13,10,3,4,0.0,0.8285714285714285,2,2,2,1,1,['Tx'],TWEAK cytokine. Key SAMac to HSC paracrine signal via Fn14. Anti-TWEAK antibody blocks HSC activation in experimental fibrosis.
15,PLVAP,SAEndo_ACKR1,Endothelial,4.1,1e-38,7.0,13,0.10756829656164403,15,0.0,15,5,2,1,0.0,0.7285714285714285,2,2,1,1,1,['Dx'],Capillarization marker co expressed with ACKR1. Detectable by IHC. Potential imaging target.
