gene,degree,betweenness,degree_centrality,eigenvector,proximity_established,proximity_novel,is_novel_seed_candidate,betweenness_norm,degree_centrality_norm,eigenvector_norm,proximity_established_norm,proximity_novel_norm,network_score,network_score_norm,network_rank
CCL2,17,0.08095238095238096,0.8095238095238095,0.2602383515939957,0.8857142857142857,0.9333333333333333,True,0.85,1.0,0.8937900075466478,0.9166666666666663,1.0,0.9217808352199951,1.0,1
TIMP1,16,0.05714285714285715,0.7619047619047619,0.2630965741595225,0.9,0.9333333333333333,True,0.6,0.9374999999999999,0.9037170111789122,1.0,1.0,0.909679252794728,0.9868715187353848,2
SPP1,17,0.05238095238095239,0.8095238095238095,0.2424935115666853,0.9,0.9333333333333333,True,0.55,1.0,0.8321597155149294,1.0,1.0,0.8905399288787323,0.9661080973398555,3
FN1,16,0.0,0.7619047619047619,0.2908187571584642,0.9,0.9,False,0.0,0.9374999999999999,1.0,1.0,0.8333333333333334,0.81875,0.8882263209612017,4
COL1A1,15,0.014285714285714287,0.7142857142857142,0.22866369702450803,0.9,0.9,False,0.15,0.8749999999999999,0.784126850317661,1.0,0.8333333333333334,0.7810317125794152,0.8473073888469504,5
MMP2,15,0.0,0.7142857142857142,0.25748530128918534,0.8857142857142857,0.9,False,0.0,0.8749999999999999,0.8842282817715864,0.9166666666666663,0.8333333333333334,0.7543904037762298,0.818405389819354,6
LGALS3,15,0.014285714285714287,0.7142857142857142,0.21900795969527403,0.8857142857142857,0.9,False,0.15,0.8749999999999999,0.7505911345565507,0.9166666666666663,0.8333333333333334,0.7434811169724709,0.8065703782993376,7
PDGFRA,13,0.03333333333333334,0.6190476190476191,0.18398939230153474,0.9,0.8666666666666667,False,0.35000000000000003,0.75,0.6289667901450512,1.0,0.6666666666666666,0.7347416975362628,0.7970893616603637,8
ICAM1,12,0.0,0.5714285714285714,0.2233941936807845,0.8714285714285714,0.9,False,0.0,0.6874999999999999,0.7658251339068075,0.8333333333333334,0.8333333333333334,0.6768729501433686,0.7343100705514494,9
ACKR1,5,0.09523809523809525,0.23809523809523808,0.053211764973475816,0.8285714285714285,0.8333333333333333,False,1.0,0.25,0.17475794120423901,0.583333333333333,0.49999999999999944,0.49785615196772626,0.54010251997581,10
TREM2,7,0.014285714285714287,0.3333333333333333,0.083375574630736,0.8428571428571429,0.8666666666666667,False,0.15,0.375,0.2795210382569592,0.6666666666666666,0.6666666666666666,0.46321359289757313,0.5025203119861145,11
LOXL2,7,0.004761904761904762,0.3333333333333333,0.09870774085757793,0.8428571428571429,0.8333333333333333,False,0.05,0.375,0.33277177935041613,0.6666666666666666,0.49999999999999944,0.43652627817093725,0.4735684031299637,12
TNFSF12,4,0.0,0.19047619047619047,0.05100766683239475,0.8285714285714285,0.8333333333333333,False,0.0,0.1875,0.16710280247701867,0.583333333333333,0.49999999999999944,0.3396923672859211,0.3685174982021069,13
GPNMB,4,0.004761904761904762,0.19047619047619047,0.039862287278870694,0.8,0.8666666666666667,False,0.05,0.1875,0.1283933525394109,0.41666666666666696,0.6666666666666666,0.30418167146818614,0.32999348635360726,14
PLVAP,1,0.0,0.047619047619047616,0.0028947600082005523,0.7285714285714285,0.7333333333333334,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
