gene,type,confidence,description
TGFB1,established,1.0,master fibrosis cytokine
CTGF,established,1.0,TGF-beta downstream effector
MMP9,established,1.0,ECM remodeling
IL6,established,1.0,inflammatory hub
TNF,established,1.0,inflammation and HSC activation
PDGFB,established,1.0,HSC mitogen
VIM,established,1.0,mesenchymal marker
STAT3,established,1.0,fibrosis signaling hub
SPP1,novel (data-driven),0.6,"logFC=5.10, degree=17, cell_type=SAMac_TREM2"
TIMP1,novel (data-driven),0.6,"logFC=3.50, degree=16, cell_type=SAMes_myofibroblast"
CCL2,novel (data-driven),0.6,"logFC=3.30, degree=17, cell_type=SAEndo_ACKR1"
